,infected,dead,infected_min,infected_max,dead_min,dead_max
78,1453,168,587.1630267147924,2320.7465719506185,88.44618690889234,248.45625750453763
79,1473,169,595.3729876822234,2351.650233281262,89.13986323472642,250.38888499205012
80,1492,170,603.4041236675974,2381.83871934484,89.71938174079939,252.00288818289448
81,1511,171,611.2502941665122,2411.2982529802143,90.18480397516807,253.29849203469553
82,1529,172,618.9057501649055,2440.016141675366,90.53673161312612,254.2773563226283
83,1547,172,626.3651586009165,2467.9807661128725,90.77629349170716,254.94255050308612
84,1564,173,633.6236229819397,2495.1815684557932,90.90512862784792,255.2985194095052
85,1581,173,640.6767000628794,2521.609040472256,90.92536562582616,255.35103995634057
86,1597,172,647.5204125503931,2547.254711553357,90.83959889291776,255.10716912215844
87,1613,172,654.1512578534877,2572.11113663785,90.65086208156974,254.5751835833609
88,1628,172,660.5662129533036,2596.171884019367,90.36259916459865,253.76451147233723
89,1643,171,666.7627355126835,2619.431522978636,89.97863353006395,252.685656833891
90,1657,170,672.7387613895335,2641.885611153666,89.5031354574893,251.35011744798203
91,1671,169,678.4926987557373,2663.53068153723,88.94058830975145,249.77029677177245
92,1684,168,684.023419055902,2684.364228971811,88.29575374753846,247.9594108269535
93,1696,166,689.330245066694,2704.3846959988123,87.57363624764163,245.9313909172178
94,1709,165,694.4129363383863,2723.5914579105306,86.77944718378146,243.70078310410375
95,1720,163,699.2716723152921,2741.9848068505657,85.91856870991123,241.28264539655308
96,1731,161,703.9070334410462,2759.5659348103154,84.9965176712669,238.69244362028704
97,1742,159,708.3199805590205,2776.3369153759886,84.01890975760058,235.94594692807993
98,1752,158,712.5118329170602,2792.3006840917515,82.99142410554111,233.0591238920985
99,1761,155,716.4842450803783,2807.461017319505,81.91976855203018,230.04804008616395
100,1771,153,720.2391830469091,2821.822509494087,80.80964573734575,226.92875802062787
101,1779,151,723.7788998462065,2835.390548693858,79.66672025334458,223.71724023740012
102,1787,149,727.1059108868453,2848.1712904699207,78.4965870292342,220.42925630935883
103,1795,147,730.2229692985838,2860.1716299021823,77.30474114255982,217.08029441876033
104,1802,144,733.1330414948459,2871.3991718766247,76.09654923645161,213.68547811508876
105,1808,142,735.8392831590781,2881.862199604721,74.87722271499244,210.2594887756374
106,1814,140,738.3450158355804,2891.5696414323374,73.65179287652664,206.81649421342223
107,1820,137,740.6537042818734,2900.5310360119392,72.42508812973209,203.37008379802938
108,1825,135,742.7689347164323,2908.7564959366778,71.20171341944126,199.93321037670256
109,1830,133,744.6943940724643,2916.2566699590107,69.98603196874662,196.51813920626734
110,1834,130,746.433850346393,2923.042703938376,68.78214942132459,193.13640403204337
111,1838,128,747.9911341082029,2929.1262006828933,67.59390044362289,189.79877037824275
112,1841,126,749.3701212213068,2934.5191788673837,66.42483782118757,186.51520604597226
113,1844,124,750.5747168009209,2939.234031226083,65.27822405754932,183.29485875013154
114,1847,122,751.6088404234251,2943.2834822306936,64.157025458328,180.14604076558538
115,1849,120,752.476412584102,2946.6805454750256,63.06390865813834,177.07622039614824
116,1851,118,753.1813423876677,2949.4384809948297,62.00123952396847,174.09202002741083
117,1852,116,753.7275164444845,2951.57075275632,60.97108434641126,171.19922047642095
118,1853,114,754.1187889361922,2953.090986549022,59.97521320979571,168.4027713078741
119,1854,112,754.3589728064817,2954.012928518364,59.015105414170876,165.70680674794392
120,1854,110,754.4518320270433,2954.3504045703867,58.09195680642672,163.1146667932834
121,1854,108,754.4010748840233,2954.1172808761667,57.206688864693,160.62892308422482
122,1853,107,754.210348227748,2953.3274256959567,56.35995936959208,158.25140908782188
123,1852,105,753.883232626652,2951.994672733988,55.55217448791375,155.98325411819815
124,1851,104,753.4232383661465,2950.132786223878,54.78350208874008,153.82492070869114
125,1850,102,752.8338022338755,2947.75542793188,54.0538861089134,151.77624484243216
126,1848,101,752.1182850343635,2944.8761262512517,53.363061783807204,149.83647854523946
127,1846,100,751.2799697785406,2941.5082475458976,52.71057156054786,148.00433434681938
128,1843,99,750.3220604966141,2937.6649698851998,52.09578151389641,146.27803112311204
129,1841,98,749.2476816261162,2933.359259295088,51.51789808982243,144.6553408438908
130,1838,97,748.0598779309769,2928.603848632856,50.97598500815139,143.1336357651727
131,1835,96,746.7616149111336,2923.411219175335,50.468980163405256,141.70993562522517
132,1831,95,745.3557796666917,2917.7935849918395,49.99571237186883,140.3809544256542
133,1827,94,743.8451821843212,2911.7628801551245,49.55491782285448,139.14314640475789
134,1823,93,742.2325570177322,2905.3307488255955,49.145256102926695,137.9927508386666
135,1819,92,740.5205653378371,2898.5085382258217,48.76532567330839,136.92583533630096
136,1815,92,738.7117973315467,2891.3072945052477,48.413678692707585,135.9383373264194
137,1810,91,736.8087749314404,2883.737761477631,48.08883509015984,135.026103468615
138,1805,90,734.8139548613367,2875.8103821974064,47.78929580510825,134.18492675456227
139,1800,90,732.729731985032,2867.5353033252977,47.51355512464388,133.4105811007707
140,1794,89,730.5584429477692,2858.9223822182585,47.26011206051042,132.6988532691422
141,1789,89,728.3023701011143,2849.9811966648126,47.02748072099861,132.0455719864171
142,1783,89,725.9637457034589,2840.7210571729374,46.81419964512503,131.44663416779548
143,1777,88,723.5447563887344,2831.151021705482,46.618840078391244,130.89802818330128
144,1771,88,721.047547896366,2821.279912746075,46.44001318085749,130.39585413762234
145,1764,88,718.4742300552798,2811.116336567941,46.27637616919414,129.93634116485947
146,1758,87,715.826882014353,2800.668704568142,46.126637404671406,129.5158617687653
147,1751,87,713.1075577108174,2789.945256520946,45.98956044870612,129.13094326638435
148,1744,87,710.3182915670393,2778.954085596106,45.8639671165343,128.77827641841367
149,1737,87,707.4611044047449,2767.703164980876,45.74873956777373,128.45472135299528
150,1730,86,704.538009563978,2756.200375938688,45.642821480088514,128.15731091089162
151,1723,86,701.5510192125791,2744.4535371320962,45.545218358815326,127.88325155907634
152,1715,86,698.5021508297683,2732.470435033717,45.45499704128488,127.6299220366243
153,1707,86,695.3934338455093,2720.258855245249,45.371284459639654,127.39486991142478
154,1700,86,692.2269164152757,2707.826614542511,45.29326573024793,127.17580623864427
155,1692,86,689.0046723076011,2695.181593462632,45.22018164133597,126.97059852208467
156,1684,85,685.7288078798805,2682.3317692486958,45.15132561322096,126.7772621876419
157,1675,85,682.4014691156723,2669.2852489672737,45.08604020757552,126.59395078400864
158,1667,85,679.0248486949417,2656.0503026147544,45.02371326346174,126.4189451296777
159,1659,85,675.6011930667682,2642.6353960298757,44.963773738515606,126.25064162721054
160,1650,85,672.1328094924401,2629.049223432013,44.90568733363819,126.08753996573802
161,1641,85,668.6220730252033,2615.300739407385,44.84895197887717,125.9282304308414
162,1633,85,665.071433391794,2601.3991901687314,44.79309325691801,125.77138103735624
163,1624,85,661.483421739603,2587.3541439179835,44.737659838738196,125.61572469537951
