,$\beta_1$,$\beta_2$,$\beta_3$,$\beta_4$
845,0.3077005116044089,0.0333295914866304,0.10837843425930223,0.0007958844025814269
846,0.3066089773589115,0.03329986456581662,0.10869456167528481,0.000779018879994021
847,0.3092030776552035,0.033718814775519135,0.10897050474102116,0.0007700451950745882
848,0.3053293247831949,0.03317009717816245,0.10863367224578505,0.0007867855228822035
849,0.3053752228599816,0.033130557388859706,0.10854158936292511,0.0007884475286069751
850,0.30699332834630366,0.033442679387111054,0.10884794410107715,0.000776464960573003
851,0.3083806704970111,0.033545471524254855,0.10874471351161866,0.0007806571562193529
852,0.30550295626851953,0.03323466735452426,0.10879546113144692,0.0007797948116791306
853,0.3071214403371329,0.03344147158361771,0.10878130287856519,0.0007811250647191105
854,0.30465392504758476,0.03339945972249245,0.1095775931765377,0.000743609592244331
855,0.3071515319497367,0.033480214621118505,0.10904881715961531,0.0007672180001115984
856,0.30702741764633795,0.033403296338992104,0.10876538156341706,0.0007796556600237794
857,0.30680160113336796,0.03345189855497242,0.10902290634259762,0.0007697874909570263
858,0.306344721142659,0.03327245749310878,0.1086970572998764,0.0007808657459717598
859,0.30633278131086655,0.03334309554393118,0.1088117568485421,0.0007789954023943689
860,0.30679481874967773,0.03323257016685288,0.10834841642426726,0.000800925180980817
861,0.3066194018555666,0.03344774242715809,0.10900201580382876,0.0007710647260452205
862,0.3062790046931559,0.033355469056626695,0.10889960169843585,0.0007739890923274236
863,0.30473760293331065,0.03315846520156036,0.10895655318425188,0.0007685356505395993
864,0.3081453944433239,0.03362771440799781,0.10896881999221533,0.0007734067382368206
865,0.305822082255426,0.0333601425391206,0.10909326267989111,0.0007654416017492916
866,0.3070430947496003,0.03347037510353351,0.10893790484376636,0.000773593208181639
867,0.30803826841190624,0.03349711417746016,0.10862495207207143,0.0007893016648060623
868,0.3070708313663885,0.033781952600109716,0.10982423801655473,0.00073424537709898
869,0.30732409384239656,0.03353315005361241,0.10902287458415277,0.0007687104155903297
870,0.30532008487371937,0.033180562372975723,0.10882821982744792,0.0007731139462702711
871,0.31012091615613374,0.03390667628435523,0.10913915032329691,0.0007669764968980799
872,0.30605844651198216,0.03337427290752301,0.1089762358913769,0.0007710309517316325
873,0.3081145486167812,0.03357758696248286,0.10890643024313088,0.0007742096442964893
874,0.30733374171509453,0.03339389817488055,0.10860606607146256,0.0007879221837074556
875,0.30481733545123074,0.0331445369066904,0.10881811170369719,0.0007771712126396763
876,0.3071364047367227,0.03346640250929226,0.10900768256618763,0.0007685255485511857
877,0.3081935984897453,0.03362773684671708,0.10902351056993051,0.0007671601685528106
878,0.30900160740764576,0.033637061948673365,0.10885747698510748,0.0007753535382755286
879,0.3061923460599993,0.033394987640366795,0.10902274744295366,0.0007683457209615372
880,0.3063624939691726,0.03342822762166269,0.10905717260441036,0.0007677772710509554
881,0.30663914726050995,0.03331214787573897,0.10866771878402118,0.0007859461519603339
882,0.3051322474083114,0.033392502869651855,0.10928566524291403,0.0007585356843660116
883,0.3077304337964249,0.03352383319255972,0.1087692796034275,0.0007831402215758526
884,0.3064478587303086,0.03333156562599702,0.10888369034289179,0.0007711704227025231
885,0.3067151937632374,0.033390753129060154,0.10887592491511341,0.0007730265055720025
886,0.3090873785002157,0.03362342636055309,0.10871347919818304,0.0007842887972839712
887,0.3069818194839362,0.033524347118819534,0.10908297880645623,0.0007656228471237935
888,0.30628785376819223,0.03331824026077818,0.10890330269305303,0.0007705069413675711
889,0.3071050445841437,0.03360579193911176,0.10924458981542266,0.0007613773359002557
890,0.30588923832294757,0.03325972304212261,0.10884614177747845,0.0007710973216760152
891,0.3064403863097012,0.03338694968194984,0.10898336696165126,0.0007686113122476717
892,0.3088546485171938,0.03367069653171383,0.10896268328847272,0.0007715597021659883
893,0.30647399202431,0.03326071721278115,0.1086594509093934,0.0007795543403173902
894,0.3071924496543152,0.03350964967436219,0.10903097140053052,0.0007680625664033042
895,0.305233015570745,0.0332535768146603,0.10898036084853227,0.0007682192094533103
896,0.3071083327934546,0.0335634891375658,0.10924706254981455,0.0007576897054064448
897,0.3023599364482236,0.03303687417498424,0.10936063526026955,0.0007501988113178815
898,0.30842032675966874,0.033860212986166774,0.1094706843023149,0.0007524892545558196
899,0.3056647074175052,0.032967000651753696,0.10809627539351938,0.0008084452637140034
900,0.30566197621159646,0.03320944260277372,0.10868773846288782,0.0007840883646114398
901,0.30779710825898793,0.033554885449207095,0.10906696613551765,0.000764390085007053
902,0.3050032626472619,0.033226417750902265,0.10897509466509352,0.0007705265672617724
903,0.3039235695696265,0.03319522194193183,0.10930441651661242,0.0007519221111905797
904,0.3034740911166661,0.03296422490008593,0.10887594621518917,0.0007710077876553367
905,0.30334114923215766,0.03308165864169027,0.10908438783889665,0.0007652937855531354
906,0.3064250260909276,0.03336145273140136,0.1089753339653374,0.0007691346783026019
907,0.30798389578207774,0.0333194931367603,0.10821075191720742,0.0008031653318499919
908,0.3060835374329865,0.03323207867177296,0.10864125596440241,0.0007824272525768492
909,0.3071265600388794,0.033400171344308796,0.10860306969413999,0.00079098048235041
910,0.3055954982324819,0.03334726139732026,0.10908265285279466,0.0007658167069257628
911,0.3082892190101457,0.03371295468475921,0.10911649623926317,0.000767899434215723
912,0.3067318235417078,0.033559106985715854,0.10921526965598083,0.0007621421625034108
913,0.3057092943767179,0.03331470685246371,0.1090120710710407,0.0007683897486616678
914,0.3082295993687014,0.03381999410440185,0.10950558604168961,0.0007486063697368724
915,0.3073478206361541,0.033373441437547016,0.1087172616258503,0.0007793795913737827
916,0.3064370041610644,0.03330096056888402,0.10867512520552841,0.0007845802251145101
917,0.3099493179779514,0.03385906993415914,0.10908683312309762,0.0007676767058795654
918,0.308408938680248,0.03369040337588074,0.10910925500519357,0.0007665469579090389
919,0.3084779321092477,0.03347087362085807,0.10844620531588689,0.0007939995940336
920,0.30395612498501345,0.033008028076504006,0.10874726970364447,0.0007782356376503558
921,0.30681248113397236,0.03335639524243771,0.10871461215142998,0.000779324735842107
922,0.30785620652058515,0.033488654872882564,0.10870158717752114,0.0007840017242074695
923,0.3074425081563054,0.033292031326269636,0.1084687002040455,0.0007889113306216043
924,0.3034379670365145,0.033022857058360486,0.10889320274771618,0.0007762330744845344
925,0.30597094523396495,0.03296102342605713,0.10806226425803535,0.0008069168731832644
926,0.3064843202543411,0.03353949777486019,0.10926990040544265,0.0007576237977581447
927,0.3072767007482891,0.03358906002635851,0.10920967856109731,0.0007621255594499777
928,0.30626224587670275,0.033352968828316364,0.10876226679759993,0.0007832662190677439
929,0.3068694912537383,0.03367772585828134,0.10945705832669315,0.0007516966459397293
930,0.3061748829839378,0.0333116867435384,0.10894949114514312,0.0007654828651413523
931,0.3074025542597213,0.033670141271459446,0.10933939926971145,0.0007562114631002226
932,0.3054714013262257,0.03303908657379835,0.10833993579860905,0.0007946127166426661
933,0.30540923437437717,0.033283788616431255,0.10901095696769741,0.0007664907989241609
934,0.30736120379284365,0.03346974788290164,0.10878950873559401,0.000782747818969255
935,0.3075417077810466,0.03364209580888407,0.1092251684226721,0.0007620309720710776
936,0.3078393545334462,0.033541187616707595,0.1088617673529775,0.0007774313700934983
937,0.30468249591300445,0.03329804935843694,0.10922616117788952,0.0007620089338693512
938,0.30667399635769405,0.03349469290732377,0.10909529727235187,0.0007666902087924766
939,0.3070004187528204,0.03339193927014223,0.10877059231713844,0.0007790510438330509
940,0.3067323050384221,0.033584925991494166,0.10911484078397204,0.0007702608307368453
941,0.3074087723367461,0.03346327843846402,0.10878037580236159,0.0007809889332391195
942,0.3049966142870883,0.03335345278882149,0.10924818470381203,0.0007569685671499585
943,0.30717445665315046,0.03360465971057218,0.10918034399705609,0.0007607731888419767
944,0.3052275030146925,0.03326095396631508,0.10888580826643993,0.0007748483261004156
945,0.30534706472372586,0.03324145220071087,0.10897234568640216,0.0007681643352465467
